seatno	assignment	score	grade	comment
011	W07	180	72	  這次的上課內容，是有關Azure 的SQL database，並且介紹該怎麼使用以及Azure 能帶來什麼好處。經過這次上課雖然還不是很了解Azure SQL database確切的用法。但是，回朔到幾個禮拜前，那時我還不清楚Azure的功用，對Azure仍然一無所知，現在至少慢慢知道Azure在幹嘛了，以及透過課堂學習慢慢了解到裡面的功能，雖然不能說對每一個功能都聊若指掌，但至少有個概念了。  而且今天的講師非常的用心教導大家，上課時也分享很多出社會後的心路歷程，我覺得這些對我的幫助很大，講師也很關心的問大家有沒有問題，覺得今天的內容滿豐富的。  
012	W07	185	76	  在這堂課企業雲端應用趨勢與實務中，今天10月22日邀請到微軟的李御安講師進行演講，延續上次的Azure的介紹，今天主要在介紹微軟Azure的資料庫，一開始講師問了大家有學過那些資料庫的軟體或是語言，例如SQL server、MySQL等…然後因為也些檔案太多所以講師很好心的已經放在網站上給我們下載使用，接下來講師繼續教我們如何在微軟的Azure使用雲端的SQL，後來講師還教用哪些方式可以更快速的找到資料以及比較，今天講師主要是在講解雲端資料庫的功能跟介紹。  
013	W07	165	65	  老師的台風穩健，說的話很中聽，讓人了解現在科技離不開雲端服務，甚至連生活都不行，藉此強調今天的主題Azure data platform的重要性。  講師講解了SQL和NOSQL各自的特點，關於這部分我還是挺感興趣的，因為我自己在做專題時就有在抉擇該使用哪種資料庫比較好，最後我們還是決定使用了NOSQL所帶來的方便，但後來也碰到很多SQL不會碰到的問題，所以若能更加瞭解其中的特點，或許未來在選擇資料庫時能更加考慮到全方面的問題。  而且Azure data platform是雲端資料庫，因此不會佔據到自己的電腦硬碟，還是相當方便的，講師也一步步老師的台風穩健，說的話很中聽，讓人了解現在科技離不開雲端服務，甚至連生活都不行，藉此強調今天的主題Azure data platform的重要性。  
014	W07	242	97	  今天是李御安講師來為我們上課，講師說在大學的階段「實習」跟「社團」是最重要的，大學生活跟過程很重要，參加社團可以訓練你的處理能力，主管在意的是看你學到甚麼，實習可以跟將來出社會接軌，大學打工很正常，但要打到對的地方，講師有說到一句話「永遠不要怕錯誤」，這句話我覺得說得很對，剛出社會不熟悉公司的操作，難免都會失誤的，失敗為成功之母，知道哪裡錯下次就會記得了，而且要勇於發問，不懂的地方趕快問同事或主管，與其在那邊自己摸索拖時間，不如勇敢地問。啊!講師說有一句話是最重要的「出社會做人比做事重要」，叫我們一定記得的。  
015	W07	157	63	  我覺得講師講的很有道理，在大學畢業前應該要累積一些實習的能力，除了可以更了解未來的方向外還可以增加自己的工作能力。未來希望在大學畢業前我也能找到適合自己相關科系的實習機會。現今是大數據分析時代，雲端計算硬碟也是現今數位時代的領頭羊，幾乎各個公司、學校甚至政府機關都會用到，而Microsoft Azure有多個NoSQL（或“ Not Only SQL”）非關係數據存儲選項可供選擇。構建旨在橫向擴展以實現高可用性，並且足夠靈活以處理半結構化和非結構化數據。物聯網和移動應用程序的情形，與關係數據庫相比，NoSQL存儲和計算解決方案可以更好地解決。雲端資料庫讓客戶可以更專注於企業應用的開發。  
017	W07	192	78	  這週的講師講述Azure Data Services – SQL & NoSQL。資料庫一直以來都是開發中重要的一個要素，簡而言之可視為電子化的檔案櫃——儲存電子檔案的處所，使用者可以對檔案中的資料執行新增、擷取、更新、刪除等操作。所謂「資料庫」係以一定方式儲存在一起、能予多個用戶共用、具有儘可能小的冗餘度、與應用程式彼此獨立的資料集合。一個資料庫由多個表空間構成。而NoSQL 資料庫也稱為「非關聯式」、「NoSQL DB」或「非 SQL」，以強調它們能夠以不同於關聯式 (SQL) 資料庫 (利用資料列和資料表) 的方式，來處理大量快速變化的非結構化資料。第二堂課講師才教導我們如何一步一步的啟動Azure Data Services，讓我們能夠詳細的了解。  
018	W07	230	90	  今天的課程主題是Azure Data Services，隨著科技的進步、資訊量也漸漸變的龐大，資料庫面臨了成本、效能等原因的挑戰，雲端的出現解決了這些問題，而微軟也致力於提供這項服務給客戶。  因為過往的教育經驗，導致我對資料庫的印象不是很好，也一直是我所排斥接觸的項目，本來以為可以在這堂課上再次重新認識它，但看來時間還是相當的有限，這次課程我覺得最可惜的地方就是因為時間因素，所以演講者並無法帶領我們完成完整的服務架設，而且演講者有時候動作太快，來不及跟上步驟，感覺非常可惜。  
019	W07	182	74	  一開始講師介紹了他的工作經歷，告訴我們一些做事情的態度，也給我們了一些建議。並且告訴我們一些雲端的好處像是不需要硬體成本、或是彈性效能能擴展等等好處，也順便幫我們複習了之前所教的一些相關知識。  在課程中講師還有提到，關聯是資料庫像是MS SQL或MY SQL的特性，藉助於集合代數等數學概念和方法來處理資料庫中的資料和非關聯式資料庫使用針對所要儲存之資料類型的特定需求所最佳化的儲存體模型的差別。也把這兩種資料庫作比較讓我們知道我們什麼時候應該用什麼樣的資料庫比較適合。  最後講師分析了現階段公司和老闆最喜歡的形式供我們參考也是我們更加了解目前外在的狀況。  
020	W07	230	90	  這次講師所帶來的演講是Azure的雲端資料庫，首先講師先講述了他過往的實習經歷以及在業界的為人處事態度，其實學期快過一半了，也聽了滿多位不同的講師，進微軟實習真的是個很棒的選擇，外加講師們在大學時期各個對於自己的未來規劃都很早就有想法，能有機會聽到許多相對年輕的社會人士分享經驗，收獲相當多。  那這次講師其實比較著重在介紹資料庫的概念和在業界的重要性，以及SQL與NoSQL兩者間的差異，我覺得雖然這堂課主要還是著重在Azure的操作體驗，畢竟有免費資源可用機會難得，但今天的講師對於資料庫的介紹相當的詳細，還包括了現在業界的狀況，能更加全面性的了解到資料庫的實際應用。  
021	W07	194	80	  這次講師叫做李老師，介紹了Azure 雲端資料庫 (PaaS) 的好處，包括無須無須硬體成本，彈性效能擴展，全球靈活部署，智能化維運，也介紹了關聯式和非關聯式的系統資料庫。提到了現今企業老闆對於資料庫的基本要求，必須高效能其中資料安全性是一定要的，還必須兼顧高可用性，有時因應業務需求，需要擁有彈性，因此比較了雲端資料庫與傳統企業自建的資料庫，雲端資料庫不只擁有傳通資料庫的優點，更是擁有傳統資料庫所沒有的成本低廉這項最大優勢。因此今天介紹的Azure 雲端關聯式資料就是一個非常實用的資料庫  
022	W07	237	96	  透過今天這堂課，我才知道微軟除了最知名的Office系列和Windows以外，其實也有防毒軟體等其他服務，而現在Azure則是微軟非常重要的一項服務，其中包含的範疇非常廣，今天主要介紹資料庫的部分，第一堂課主要是由講師講解相關內容，講到為何資料庫的重要性，由於現在為大數據時代，所以最重要的是數據，例如人工智能若沒有大量數據，則將無法運算，資料庫若其中沒有資料，那也相當於空殼。  在第二節課則是比較實作的性質，講師帶我們建立resourse group。  今天除了課程以外講師也有分享其他事，大學時期有空可以去參加社團或找實習，時期可以提前跟企業接軌了解企業環境，而社團部分則是要能說明自己在社團學到了甚麼，公司不會在乎你社團玩得多麼精彩，重點是我們能在玩社團的過程中獲取哪些能力並能應用在工作上。  
023	W07	139	62	  這禮拜的Azure是以上禮拜的機器人內容為根基更加進階的介紹機器人服務。透過課堂中的介紹我們了解到藉由Azure的雲端整合服務，我們可以把爬蟲、資料分析、知識庫和機器人的QA系統直接一口氣做出來，簡單建置一個問題回答系統。過去需要花許多時間製作的功能都被完整的包成一個功能，讓我們開發機器人的難度大幅降低。此外，課程的後半講師也再一次帶著我們建立簡單的機器人，並且為我們示範了更為複雜的判斷與回答功能。透過這堂課的實際體驗，我更了解了Azure的使用。  
024	W07	153	62	  SQL (Structured Query Language) databases (Relational Databases) 成為主要的資料儲存機制已經持續了 40 年以上，在 1990s 後期更因為 web application 的發展與開源專案的觀念興起而被大量的使用，這類型的資料庫包含 MySQL, PostgreSQL, and SQLite.  NoSQL databases (Non-relational Databases) 則在 1960s 年代就存在，但一直到了最近隨著 MongoDB, CouchDB, Redis and Apache Cassandra 等 NoSQL databases 的發展才逐漸熱門起來  在網路上我們可以找到一些文章在解釋如何使用 SQL/NoSQL 的某些功能或特性，但較少提到為何你該選擇 SQL/NoSQL 而非另外一個  在這篇文章中我們會涵蓋 SQL/NoSQL 根本上的差異，在我們的範例中會以主流的 MySQL SQL and MongoDB NoSQL database 為例，其他 SQL/NoSQL 則是大同小異  雖然 SQL 和 NoSQL 透過不同方式運作，但事實上他們的目的都一樣:儲存資料  NoSQL 隨著發展逐漸成為顯學，較常出現在技術文章標頭或是讓人感覺較新穎，但他並不是取代 SQL 的新技術  
025	W07	210	86	  這次講的主要內容是大數據才能用的資料庫，大數據由巨型數據集組成，這些數據集大小常超出在我們可接受時間下的收集、庋用、管理和處理能力，大數據的大小經常改變。NoSQL是對不同於傳統的關聯式資料庫的資料庫管理系統的統稱。SQL 跟 NoSQL 並不是互斥的概念，可以在自己的系統裡面用 SQL 類的資料庫系統儲存文章、評論，同時也用 NoSQL 類的資料庫來搜集使用者資訊。SQL查詢提供了一個強大的JOIN條款。我們可以使用單個SQL語句獲取不同表中的相關資料。NoSQL沒有等效的JOIN。  
026	W07	232	92	  小賈講師今天跟我們語重心長的講了一些出社會應該做好的心理準備，還有我們應該做什麼事充實自己，什麼時候該玩什麼時候該認真，很開心他能跟我們說那麼多，在出社會方面他是前輩，他能說多少我們就聽多少，也希望我未來能找到心之所向的工作。他今天教學的專業領域是Azure的SQL Database也就是資料庫的部分，之前有上過SQL server的課，所以這部分讓我還算能理解，雖然還是有比較專業的部分不熟，但至少基礎架構我能有經驗。小賈講師今天為了分享而做的簡報很不錯，簡潔有力，滿喜歡這種風格的。  
027	W07	92	60	  NoSQL(NoSQL= Not Only SQL )，意即“不僅僅是SQL”，是一項全新的資料庫革命性運動。NoSQL的擁護者們提倡運用非關係型的資料儲存。大多數資料庫技術不能保證支援ACID(原子性、一致性、隔離性和永續性)，而且大部分技術都是開源專案，這些技術被稱為NoSQL。NoSQL資料庫的產生就是為了解決大規模資料集合多重資料種類帶來的挑戰，尤其是大資料應用的難題。但是儘管大多數NoSQL資料儲存系統都已被部署到實際應用中，但仍存在產品支援的功能有限、缺乏類似關係資料庫所具有的強有力的理論、技術、標準規範的支援等挑戰性問題需要解決。  
028	W07	193	79	  今天的講師是Justin Li老師，這幾周下來發現微軟的講師都很年輕很活潑，今天的講師講解的是SQL&NoSQL的部分，資料庫其實真的是很實用，未來在工作上一定也都會使用的到，講師也為我們講解兩種的差異，聽完對兩者還是覺得有點模糊，可能要之後自己在對兩者做一些研究才可以摸透兩者的差異，然後講師也教我們開了Azure裡面的SQL Database的功能，教我們如何去使用，但一節課時在時有點太趕了，時間有點不夠用，感覺都學到皮毛，有點可惜，但講師有把相關的檔案給我們，讓我們可以自己薇家研究研究，我覺得很不錯。  
029	W07	173	69	  SQL 跟 NoSQL 並不互斥，可以在系統裡面用 SQL 類的資料庫系統儲存文章、評論，同時也用 NoSQL 類的資料庫來搜集使用者資訊。  NoSQL 沒有 schema 這種東西，所以不必事先知道要存哪些資料。這樣的好處就是比較彈性，可是相對在查詢資料的時候速度也會比較慢一點。而且這些 NoSQL 系統，儲存資料的格式通常都是 JSON。   此二是根據業務不同而定的。要根據你的業務來選擇適合的技術棧。沒有最好，只有最適合自己的。就算 NoSQL 聽起來比較潮，但是適合用 SQL 的地方，還是用 SQL 就好。  
030	W07	230	91	  今天Ethan講師跟我們講述了Azure認知服務與AI相關的介紹，近年來由於大數據、雲端運算、強大演算法等技術蓬勃發展，使得AI與雲端運算蓬勃發展，在利用AI做決策、圖像辨識、語音轉換成文字、搜尋及辨識情感等。  在講師上課的時候跟我們介紹了很多Asure上擁有的服務與許多衍生的API，同時也搭配影片為我們介紹Bot搭配語音對話服務，幫助我們完成一些生活上事情等，真的讓我眼睛為之一亮。  後來講師也手把手的教我們註冊自己的Azure帳號，與嘗試建立一個新的API、教大家基本操作技巧及熟悉介面。  經過這次Ethan講師的課後，我還蠻期待之後上課可以學到更多Azure的相關應用，希望能從中學習到更多、更有趣的東西。  
031	W07	223	89	  今天的講者非常厲害，主要跟我們介紹了關聯式以及非關聯式資料庫的差別及應用，先前在大三時就有修過關聯式資料庫的查詢以及架設，像azure這種架構在雲端的關聯式資料庫在未來應該會是市場趨勢的主流，公司不必再花額外的伺服器架設費用以及機房，且能全球化的部屬資料且智慧的運營。而非關聯式資料庫以物件為基礎的規則跟關聯式資料庫很不一樣，連查詢語法也不使用SQL來執行，看來我還有很多要學習。  
032	W07	174	70	  這禮拜的微軟講師是在介紹資料庫相關的應用程式，Azure Data Services – SQL 與 NoSQL，利用SQL Database服務建立關聯式資料庫，及利用Azure Cosmos DB服務建立非關聯式資料庫。Azure的雲端資料庫是屬於PaaS的服務，他的好處是讓客戶能更專注於企業應用的開發。我在先透過 Azure 入口網站建立Azure Cosmos 帳戶、容器及項目，然後才建置 .NET 主控台應用程式來管理 Azure Cosmos DB SQL API 帳戶中的資料，並瞭解了為了因應網路平台的多樣性的發展，許多大型網站平台逐漸開放物件功能和資訊與其它網站進行串接、共享，整合多元資訊、提升跨平台使用者的友善性，達到平台多元發展的市占性所串造出來的API的使用。  
033	W07	233	94	  講師提到了很多有趣的事情，像多半會以海水冷卻發電機，企業花了很多錢打造機房，希望由客戶租賃，客戶對big data有很大需求，因為資料決定一切，由數字結果輔助決策，資料量多、多樣性，AI很多演算法與預測，可進行客戶分類。  客戶遇到的問題1.更多硬體成本2.效能ㄉ落3.快速全球部屬4.維運不易  越來越多電商往印度發展  AZURE雲端資料庫(PaaS)c好處，1.無須硬體成本2.彈性效能擴展3.全球靈活部屬4.智能化維運  他也特別說明了SQL與NOSQL的分別，非常清楚且有趣，他也為我們介紹如何設置AZURE SQL DATABASE流程，說起來覺得這次的講師口才很好，描述的內容都非常易懂且生動!  
034	W07	250	99	  SQL是一種特定目的程式語言，用於管理關聯式資料庫管理系統，或在關係流資料管理系統中進行流處理。 SQL基於關係代數和元組關係演算，包括一個資料定義語言和資料操縱語言。SQL的範圍包括資料插入、查詢、更新和刪除，資料庫模式建立和修改，以及資料存取控制。  NoSQL是對不同於傳統的關聯式資料庫的資料庫管理系統的統稱。 兩者存在許多顯著的不同點，其中最重要的是NoSQL不使用SQL作為查詢語言。其資料儲存可以不需要固定的表格模式，也經常會避免使用SQL的JOIN操作，一般有水平可延伸性的特徵。  這禮拜的講師還有自製的PTT感覺挺不錯的！  
035	W07	179	72	  Azure SQL Database 是一般用途的關係資料庫，以受控服務形式提供。 有了此功能，您可以為 Azure 中的應用程式和解決方案建立高度可用且高效能的資料儲存層。 SQL Database 可以是適用于各種新式雲端應用程式的正確選擇，因為它可讓您處理關聯式資料和非關聯式結構，例如圖形、JSON、空間和 XML。它是以Microsoft SQL Server 資料庫引擎的最新穩定版本為基礎。 您可以使用先進的查詢處理功能，例如高效能的記憶體內部技術和智慧型查詢處理。 事實上，SQL Server 的最新功能會先發行至 SQL Database，然後再 SQL Server 本身。 您可以取得最新的 SQL Server 功能，而不需額外的修補或升級，即可跨數百萬個資料庫進行測試。SQL Database 可讓您在兩種不同的購買模型內輕鬆定義和調整效能: 以vCore 為基礎的購買模型和以 DTU 為基礎的購買模型。 SQL Database 是完全受控的服務，具有內建的高可用性、備份和其他常見的維護作業。 Microsoft 會處理所有的 SQL 和作業系統程式碼修補和更新。  NoSQL 資料庫也稱為「非關聯式」、「NoSQL DB」或「非 SQL」，以強調它們能夠以不同於關聯式 (SQL) 資料庫 (利用資料列和資料表) 的方式，來處理大量快速變化的非結構化資料。NoSQL 技術大約從 1960 年代開始就已存在，但由於資料環境變化，開發人員必須做出調整才能處理雲端、行動裝置、社交媒體和巨量資料所產生數量龐大且種類繁多的資料，因此突然大受歡迎。從熱門名人推文到電子病歷中的救生資訊，迅速就能產生新的資料和資料類型。NoSQL 資料庫已發展成可協助開發人員快速建立資料庫系統，以儲存新的資訊，並讓該項資訊立即可供搜尋、彙總和分析。  
036	W07	232	92	  聽完了講師的講說，我得到了比知識更重要的觀念，例如企業的實習經驗以及社團磨練又或者是人與人相處的技巧等等，並且目前已經趨向大數據，我們需要從TPS交易處理系統做資料挖掘，用更細的資料去做資料分析，並應用OLAP線上資料分析等方法去做支援，因此許多公司都開始建立以資料為導向的決策分析系統來輔助管理階層或高階主管做決策。並且瞭解了許多雲端專有名詞，如IAAS，PAAS，SAAS等，而且根據講師的操作，更能了解PAAS的運用，可以讓客戶更專注於企業應用的開發，以達到無須硬體成本，彈性效能擴展，全球靈活部屬，智能化維運等優點。  
037	W07	192	78	  這周的內容是資料庫。資料庫是許多企業的重要技術資料，放著的資料從客戶的隱私資料、用戶使用後體驗的資料等等。今天有實際上Azure自己實際操過看看資料庫，雖然操作完還是有許多問號在心中，起碼對微軟的雲端資料庫有ㄧ些基本的認識了。除了ㄧ些資料庫設計時有上過的內容以外，今天也有多加介紹資料庫內的ㄧ些技術與概念，當下聽到其實覺得很難以理解，但是講師使用很簡單易瞭的圖表讓人能夠一目了然，讓這些複雜難懂的新穎技術在第一時間能夠被消化以及吸收。感謝講師的認真付出!  
038	W07	247	98	  在本周的演講中，講者從企業的實用面切入做分享，他提到目前客戶遇到的困境有四個，[更多硬體成本、效能低落、快速全球部屬、維運不易]，也是多一個驗證讓我們知道Azure真的是目前的趨勢，可以為企業帶來很多方便，並協助快速站在巨人的肩膀上。  講者在說明關聯式資料庫和非關聯式資料庫時，讓我想到大三所修的資料庫那堂課，憑藉當時對於資料庫基礎概念的認知，在今天上手的速度也較快!  講者後面做的NoSQL跟SQL的對照表解開了我的疑惑，終於比較清楚甚麼狀況下應該選擇哪種資料庫了!  
039	W07	218	87	  這禮拜的講師，在介紹Azure的服務之前，先跟我們分享了他的社會經歷。我覺得他介紹的經歷讓我感覺很貼近，不會覺得距離很遙遠，因為講師也是私立大學資管系畢業的，而他給我們的建議也很實用，包括他說外商公司很注重大學的經歷等等，不過對於已經大四的我，已經來不及去多參加社團活動，不過現在的我的確正在努力的找實習。另外，他還分享在未來職場裡「做人比做事重要」，現在的人對於自我意識很強烈，但我一直都相信，在剛進職場裡要放下自我意識，比別人多做各種大小事一定都會有它的用處。  而這堂課介紹的Azure服務是SQL&NoSQL，他知道我們大部分的人對於專有名詞不是很熟悉，所以他有針對很多專有名詞去做解釋，針對這部份對於專有名詞知道不多的我很有幫助。而第二堂課他也帶著我們實際去操作，更加深了第一堂課他所介紹的各種Azure服務。  這堂課讓我更認識了SQL&NoSQL，包括他們的不同之處以及分別適合用於哪裡，在我的畢業專題裡，就是用到Azure Cosmos DB，記得那時研究了許久，今天聽講師介紹到讓我更有感觸。  
040	W07	234	95	"  課程心得  這週企業雲端的課程，一樣重心是放在Azure上，第一堂課講師跟我們分享了他在工作上遇到的種種事情，也跟我們提到了想進到微軟公司上班應該要具備些什麼東西。 本週的第二堂課講師教我們建立SQL的Database，許多在建立資料庫時所必須具備的常識，以及遇到設定上問題的時候應該要怎麼排除。此外講師也提到了""雲端""是近幾年來重要的技術之一，如果我們未來想要進入資訊相關產業工作的話，具備有雲端相關知識的人必定是優先被錄取的，因此這方面的精進是必須的。  "
041	W07	173	69	  今天討論的是SQL和NOSQL的不同和SQL DATABASE的操作練習，SQL和NOSQL最大差別是格式和載入的不同，以排序和資料的一致性來說，nosql比較強調結果一致，排序和資料可能不同，但SQL卻強調資料的一致性和排序，而NOSQL之所以叫nosql，是因為沒有使用常用的SQL語法，他常使用在特定需求的功能，像是FB建議好友等等需要關聯性的需求，所以相較以往的SQL，他比較彈性，且他通常使用json而不是xml。  今天的操作是建立SQL DATABASE，一個月一萬四左有，但相較於傳統企業建立資料庫來說，雲端部屬SQL DATABASE是非常便宜的!  ps.登入之前要先設定防火牆，把自己的ip加進去  
042	W07	198	82	  這週講述的課程是Azure Data Service-SQL& NoSQL，而這週講師在正式開始進入這週的主題之前，給了我們一些對於未來職涯的建議，我覺得他說得很對，我同意他的觀點，如他所說不是打工不好，而是因為畢竟已經大四了，再過不到一年的時間，就要畢業踏入職場上了，所以如果真的要打工我覺得就要打一份有意義對未來職涯有幫助的工作。在大四將面臨進入職場生活的我們，他給予我們一些他自己的經驗，在大四的他，他努力尋找竹科裡的工作進入實習，提前進入職場，增加自己的經驗。  他說:「進入職場要學會如何做人。」這句話他說今天的東西都忘記沒關係，但是這句話很重要，所以讓我印象深刻。畢業進入職場很多東西身為新鮮人的我們，可能很多都會不了解，但是應該因為是新鮮人他們可能會諒解，但是要學會如何做人。學會做人我覺得超級重要，不然會被穿小鞋，在職場上被穿小鞋後果可是不堪設想，因此人際間的關係、溝通上都要好好處理，不可以忽視同事間的關係。  在第二堂課，進入了實作Azure 平台的部分，今日主要是建置一個SQL Database，我覺得他教得很詳細，一個步驟一個步驟慢慢教學，到一個端落會停下來等我們，還會停下來詳細解說功能用處，還有一些建置上的建議。在操作Azure的同時，他也說了一些雲端的好處，在前幾年雲端對於一些企業來說是很抗拒的，但是因為可能趨勢以及記憶體容量的關係，雲端開始崛起，企業也開始接受雲端。雲端是未來的趨勢，所以對於雲端要知道雲端是什麼，也要學會雲端的技術，這樣之後在職涯上會很吃香。  
043	W07	193	79	  今天這堂課的講師在課前，跟我們講了很多有關他的工作經驗，讓我們受益良多，對未來在社會上工作時有所幫助。今天主要的內容是Azure Data Platform，讓我們先看了一個大約5分鐘左右的影片，了解雲端是怎樣的世界。現金企業客戶遇到的問題與挑戰，如硬體成本、效能低落、全球部屬、維運困難，所以客戶會慢慢考慮雲端，原本需要數個月才可以處理的事務，現在只要短短的幾分鐘即可完成，對企業是一份很大的幫助。Platform只要開發Application就結束了，其他的東西都不用處理。  
